Code,Description,CO2
643,1124A Westwind II,50
723,A200-100 BD-500-1A10,50
724,A220-300 BD-500-1A11,50
103,Aero Commander (500/600 Series Excpt 680FL),50
611,Aero Commander 1121,50
7,Aero Commander 200,50
8,Aero Macchi AL-60,50
9,Aeronca 7-AC,50
680,Aerospatiale Caravelle SE-210,50
613,Aerospatiale Corvette,50
441,Aerospatiale/Aeritalia ATR-42,50
442,Aerospatiale/Aeritalia ATR-72,50
875,Aerospatiale/British Aerospace Concorde,50
325,Agusta A-119 Koala,50
393,Agustawestland AW139,50
370,Air Bus Euro Bo-105,50
443,Air Tractor AT-802,50
836,Airbus 350-1000,25
824,Airbus A330-900neo,50
644,Airbus Industrie A-318,50
691,Airbus Industrie A300-600/R/CF/RCF,50
695,Airbus Industrie A300-B2,50
690,Airbus Industrie A300B/C/F-100/200,50
692,Airbus Industrie A310-200C/F,50
693,Airbus Industrie A310-300,50
318,Airbus Industrie A318,80
698,Airbus Industrie A319,70
719,Airbus Industrie A319-200n,70
694,Airbus Industrie A320-100/200,70
722,Airbus Industrie A320-200n,30
721,Airbus Industrie A321-200n,30
699,Airbus Industrie A321/Lr,28
696,Airbus Industrie A330-200,50
343,Airbus Industrie A330-223/234,50
687,Airbus Industrie A330-300/333,50
689,Airbus Industrie A330-600ST (Beluga),50
339,Airbus Industrie A330-900,50
697,Airbus Industrie A340,50
873,Airbus Industrie A340-200,50
871,Airbus Industrie A340-300,60
872,Airbus Industrie A340-500,65
874,Airbus Industrie A340-600,70
335,Airbus Industrie A350-1000,20
359,Airbus Industrie A350-900,20
882,Airbus Industrie A380-800,45
507,Antonov 12,50
880,Antonov 124,50
890,Antonov 225 (6 Engine),50
444,Antonov 24/26/32,50
508,Antonov An-22 Freighter,50
607,Antonov An-72/74,50
835,Avroliner RJ85,50
510,AW-650,50
887,B787-800 Dreamliner,50
889,B787-900 Dreamliner,50
401,Beech 1300,50
405,Beech 1900 A/B/C/D,50
406,Beech 200 Super Kingair,50
133,Beech 65/65A-80/65B-80 (Queen Air),50
403,Beech 99 Airliner,50
115,Beech AT-11,50
24,Beech B-23 Musketeer,50
113,Beech B-95 (Travelair),50
117,Beech Baron (55 Series),50
10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,50
105,Beech C-50 (Twin Bonanza),50
404,Beech C99,50
411,Beech King Air 65-A90 Queen Air,50
111,Beech King Air 90,50
457,Beech King Air C-90,50
402,Beech Model 18 Turbo-Prop Conversions,50
110,"Beechcraft Beech 18 C-185 (Federal Express has waiver to report all its small aircraft under code 110, regardless of actual aircraft type)",50
409,Beechcraft King Air B100,50
458,Beechcraft Super King Air,50
345,Bell 212 Twin Two Twelve,50
315,Bell B-206A,50
311,Bell B-47D,50
312,Bell B-47G,50
313,Bell B-47G2,50
314,Bell B-47J2,50
366,Bell Bht 407,50
368,Bell Bht 412,50
20,Bellanca CH-300,50
364,Bht 206 L4 Long Ranger,50
362,Bht 206 Lt Long Ranger,50
200,Boeing 377 Stratocruiser,50
800,Boeing 707-100,50
802,Boeing 707-100B,50
804,Boeing 707-200,50
806,Boeing 707-300,50
808,Boeing 707-300B,50
